"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"ko05010","ko05010","Alzheimer disease","11/117","300/4543",0.14781744171193,0.958134520043381,0.953550144349394,"evm.model.tig082700000096.439/evm.model.tig082700000357.48/evm.model.tig082700000155.9/evm.model.tig082700000153.20/evm.model.tig082700000174.25/evm.model.tig082700000106.123/evm.model.tig082700000140.131/evm.model.tig082700000427.5/evm.model.tig082700000071.488/evm.model.tig082700000287.13/evm.model.tig082700000106.46",11
"ko00410","ko00410","beta-Alanine metabolism","2/117","27/4543",0.152430491825083,0.958134520043381,0.953550144349394,"evm.model.tig082700031375.47/evm.model.tig082700000246.27",2
"ko00710","ko00710","Carbon fixation in photosynthetic organisms","2/117","27/4543",0.152430491825083,0.958134520043381,0.953550144349394,"evm.model.tig082700000096.129/evm.model.tig082700000140.208",2
"ko00565","ko00565","Ether lipid metabolism","2/117","28/4543",0.161528884172384,0.977423510286693,0.97274684277336,"evm.model.tig082700000020.211/evm.model.tig082700000187.100",2
"ko05166","ko05166","Human T-cell leukemia virus 1 infection","5/117","113/4543",0.165227047313314,0.977423510286693,0.97274684277336,"evm.model.tig082700000289.14/evm.model.tig082700000195.110/evm.model.tig082700000357.48/evm.model.tig082700031372.155/evm.model.tig082700000292.69",5
"ko04714","ko04714","Thermogenesis","6/117","146/4543",0.173145856747902,0.977423510286693,0.97274684277336,"evm.model.tig082700000290.19/evm.model.tig082700000195.110/evm.model.tig082700000106.20/evm.model.tig082700000106.123/evm.model.tig082700000140.131/evm.model.tig082700000287.13",6
"ko00230","ko00230","Purine metabolism","4/117","85/4543",0.174839514866271,0.977423510286693,0.97274684277336,"evm.model.tig082700000140.216/evm.model.tig082700000301.15/evm.model.tig082700000187.131/evm.model.tig082700002117.291",4
"ko04742","ko04742","Taste transduction","2/117","30/4543",0.180004746286279,0.977423510286693,0.97274684277336,"evm.model.tig082700000195.110/evm.model.tig082700000196.125",2
"ko00970","ko00970","Aminoacyl-tRNA biosynthesis","3/117","59/4543",0.193597846460084,0.977423510286693,0.97274684277336,"evm.model.tig082700031374.36/evm.model.tig082700000156.175/evm.model.tig082700000253.115",3
"ko00071","ko00071","Fatty acid degradation","2/117","32/4543",0.198782598346783,0.977423510286693,0.97274684277336,"evm.model.tig082700000246.27/evm.model.tig082700000106.20",2
"ko00020","ko00020","Citrate cycle TCA cycle","2/117","33/4543",0.208260240933082,0.977423510286693,0.97274684277336,"evm.model.tig082700000162.187/evm.model.tig082700000136.294",2
"ko05202","ko05202","Transcriptional misregulation in cancer","2/117","33/4543",0.208260240933082,0.977423510286693,0.97274684277336,"evm.model.tig082700000128.40/evm.model.tig082700000151.129",2
"ko01110","ko01110","Biosynthesis of secondary metabolites","14/117","431/4543",0.21634018931703,0.977423510286693,0.97274684277336,"evm.model.tig082700000096.129/evm.model.tig082700000020.211/evm.model.tig082700000187.100/evm.model.tig082700000246.27/evm.model.tig082700000301.15/evm.model.tig082700000377.13/evm.model.tig082700000113.132/evm.model.tig082700000162.187/evm.model.tig082700000206.83/evm.model.tig082700000140.208/evm.model.tig082700000187.131/evm.model.tig082700000180.36/evm.model.tig082700000136.294/evm.model.tig082700002117.291",14
"ko04215","ko04215","Apoptosis - multiple species","1/117","10/4543",0.229854381359233,0.977423510286693,0.97274684277336,"evm.model.tig082700000427.5",1
"ko04973","ko04973","Carbohydrate digestion and absorption","1/117","10/4543",0.229854381359233,0.977423510286693,0.97274684277336,"evm.model.tig082700000071.497",1
"ko04978","ko04978","Mineral absorption","1/117","10/4543",0.229854381359233,0.977423510286693,0.97274684277336,"evm.model.tig082700000071.497",1
"ko04142","ko04142","Lysosome","7/117","194/4543",0.231970707957282,0.977423510286693,0.97274684277336,"evm.model.tig082700000167.128/evm.model.tig082700000167.150/evm.model.tig082700000160.67/evm.model.tig082700000160.172/evm.model.tig082700000016.37/evm.model.tig082700000301.10/evm.model.tig082700000075.349",7
"ko05212","ko05212","Pancreatic cancer","2/117","36/4543",0.236940853155239,0.977423510286693,0.97274684277336,"evm.model.tig082700000020.211/evm.model.tig082700000187.100",2
"ko05134","ko05134","Legionellosis","3/117","66/4543",0.24101094152658,0.977423510286693,0.97274684277336,"evm.model.tig082700000122.247/evm.model.tig082700000016.67/evm.model.tig082700000427.5",3
"ko05017","ko05017","Spinocerebellar ataxia","6/117","164/4543",0.24656303873433,0.977423510286693,0.97274684277336,"evm.model.tig082700000096.439/evm.model.tig082700000357.48/evm.model.tig082700000153.20/evm.model.tig082700000174.25/evm.model.tig082700000427.5/evm.model.tig082700000106.46",6
"ko00480","ko00480","Glutathione metabolism","3/117","67/4543",0.247947892478067,0.977423510286693,0.97274684277336,"evm.model.tig082700000140.216/evm.model.tig082700000113.132/evm.model.tig082700000106.167",3
"ko05168","ko05168","Herpes simplex virus 1 infection","3/117","67/4543",0.247947892478067,0.977423510286693,0.97274684277336,"evm.model.tig082700000169.31/evm.model.tig082700002115.34/evm.model.tig082700000427.5",3
"ko03050","ko03050","Proteasome","2/117","40/4543",0.275463731698874,0.977423510286693,0.97274684277336,"evm.model.tig082700000096.439/evm.model.tig082700000174.25",2
"ko02020","ko02020","Two-component system","3/117","71/4543",0.275978620472374,0.977423510286693,0.97274684277336,"evm.model.tig082700000140.131/evm.model.tig082700000427.5/evm.model.tig082700000287.13",3
"ko04961","ko04961","Endocrine and other factor-regulated calcium reabsorption","2/117","41/4543",0.285097549079822,0.977423510286693,0.97274684277336,"evm.model.tig082700000195.110/evm.model.tig082700000071.497",2
"ko00130","ko00130","Ubiquinone and other terpenoid-quinone biosynthesis","1/117","13/4543",0.287974958000288,0.977423510286693,0.97274684277336,"evm.model.tig082700000206.83",1
"ko00627","ko00627","Aminobenzoate degradation","1/117","13/4543",0.287974958000288,0.977423510286693,0.97274684277336,"evm.model.tig082700000246.27",1
"ko04216","ko04216","Ferroptosis","1/117","13/4543",0.287974958000288,0.977423510286693,0.97274684277336,"evm.model.tig082700000106.20",1
"ko03410","ko03410","Base excision repair","2/117","42/4543",0.294719971507959,0.977423510286693,0.97274684277336,"evm.model.tig082700000160.160/evm.model.tig082700002117.551",2
"ko00380","ko00380","Tryptophan metabolism","2/117","44/4543",0.313907891045942,0.977423510286693,0.97274684277336,"evm.model.tig082700000246.27/evm.model.tig082700000377.13",2
"ko05414","ko05414","Dilated cardiomyopathy","2/117","44/4543",0.313907891045942,0.977423510286693,0.97274684277336,"evm.model.tig082700000174.35/evm.model.tig082700000195.110",2
"ko00240","ko00240","Pyrimidine metabolism","2/117","45/4543",0.323462754588868,0.977423510286693,0.97274684277336,"evm.model.tig082700000140.216/evm.model.tig082700002117.291",2
"ko04960","ko04960","Aldosterone-regulated sodium reabsorption","1/117","15/4543",0.324284040322877,0.977423510286693,0.97274684277336,"evm.model.tig082700000071.497",1
"ko00720","ko00720","Carbon fixation pathways in prokaryotes","1/117","16/4543",0.341744015429375,0.977423510286693,0.97274684277336,"evm.model.tig082700000162.187",1
"ko04340","ko04340","Hedgehog signaling pathway","2/117","47/4543",0.342469798597718,0.977423510286693,0.97274684277336,"evm.model.tig082700000195.110/evm.model.tig082700000155.34",2
"ko05152","ko05152","Tuberculosis","4/117","116/4543",0.349782264237741,0.977423510286693,0.97274684277336,"evm.model.tig082700031385.8/evm.model.tig082700000160.172/evm.model.tig082700000016.67/evm.model.tig082700000427.5",4
"ko04923","ko04923","Regulation of lipolysis in adipocytes","2/117","50/4543",0.370657990968033,0.977423510286693,0.97274684277336,"evm.model.tig082700000290.19/evm.model.tig082700000195.110",2
"ko04724","ko04724","Glutamatergic synapse","3/117","85/4543",0.375424249599212,0.977423510286693,0.97274684277336,"evm.model.tig082700000020.211/evm.model.tig082700000187.100/evm.model.tig082700000195.110",3
"ko04976","ko04976","Bile secretion","3/117","86/4543",0.38248890191788,0.977423510286693,0.97274684277336,"evm.model.tig082700000195.110/evm.model.tig082700000071.497/evm.model.tig082700002117.447",3
"ko03015","ko03015","mRNA surveillance pathway","2/117","52/4543",0.38918974064316,0.977423510286693,0.97274684277336,"evm.model.tig082700000122.247/evm.model.tig082700000127.61",2
"ko05412","ko05412","Arrhythmogenic right ventricular cardiomyopathy","1/117","19/4543",0.391484755415438,0.977423510286693,0.97274684277336,"evm.model.tig082700000174.35",1
"ko05416","ko05416","Viral myocarditis","1/117","19/4543",0.391484755415438,0.977423510286693,0.97274684277336,"evm.model.tig082700000427.5",1
"ko00051","ko00051","Fructose and mannose metabolism","2/117","53/4543",0.398367154136889,0.977423510286693,0.97274684277336,"evm.model.tig082700000096.129/evm.model.tig082700000140.208",2
"ko00030","ko00030","Pentose phosphate pathway","1/117","20/4543",0.407222218637453,0.977423510286693,0.97274684277336,"evm.model.tig082700000096.129",1
"ko00010","ko00010","Glycolysis / Gluconeogenesis","2/117","54/4543",0.407481479791585,0.977423510286693,0.97274684277336,"evm.model.tig082700000096.129/evm.model.tig082700000140.208",2
"ko04341","ko04341","Hedgehog signaling pathway - fly","2/117","54/4543",0.407481479791585,0.977423510286693,0.97274684277336,"evm.model.tig082700000195.110/evm.model.tig082700000155.34",2
"ko04071","ko04071","Sphingolipid signaling pathway","3/117","92/4543",0.424458833066635,0.977423510286693,0.97274684277336,"evm.model.tig082700000020.211/evm.model.tig082700000187.100/evm.model.tig082700000160.172",3
"ko04928","ko04928","Parathyroid hormone synthesis, secretion and action","3/117","92/4543",0.424458833066635,0.977423510286693,0.97274684277336,"evm.model.tig082700000020.211/evm.model.tig082700000187.100/evm.model.tig082700000195.110",3
"ko01040","ko01040","Biosynthesis of unsaturated fatty acids","1/117","22/4543",0.43749656773531,0.977423510286693,0.97274684277336,"evm.model.tig082700000279.44",1
"ko03060","ko03060","Protein export","1/117","22/4543",0.43749656773531,0.977423510286693,0.97274684277336,"evm.model.tig082700000175.38",1
"ko05203","ko05203","Viral carcinogenesis","3/117","95/4543",0.445096399965715,0.977423510286693,0.97274684277336,"evm.model.tig082700000195.110/evm.model.tig082700000174.25/evm.model.tig082700000292.69",3
"ko03022","ko03022","Basal transcription factors","1/117","23/4543",0.452053723580248,0.977423510286693,0.97274684277336,"evm.model.tig082700000162.3",1
"ko04013","ko04013","MAPK signaling pathway - fly","2/117","60/4543",0.460696019938722,0.977423510286693,0.97274684277336,"evm.model.tig082700000254.39/evm.model.tig082700000616.9",2
"ko05146","ko05146","Amoebiasis","4/117","135/4543",0.461181723158709,0.977423510286693,0.97274684277336,"evm.model.tig082700000111.311/evm.model.tig082700000016.103/evm.model.tig082700000195.110/evm.model.tig082700000153.173",4
"ko04723","ko04723","Retrograde endocannabinoid signaling","3/117","98/4543",0.465446098369287,0.977423510286693,0.97274684277336,"evm.model.tig082700000290.19/evm.model.tig082700000195.110/evm.model.tig082700000106.123",3
"ko00061","ko00061","Fatty acid biosynthesis","1/117","24/4543",0.466237288699963,0.977423510286693,0.97274684277336,"evm.model.tig082700000106.20",1
"ko03018","ko03018","RNA degradation","2/117","62/4543",0.47782101627176,0.977423510286693,0.97274684277336,"evm.model.tig082700031385.8/evm.model.tig082700000016.67",2
"ko00062","ko00062","Fatty acid elongation","1/117","25/4543",0.480056770271573,0.977423510286693,0.97274684277336,"evm.model.tig082700000246.27",1
"ko00340","ko00340","Histidine metabolism","1/117","25/4543",0.480056770271573,0.977423510286693,0.97274684277336,"evm.model.tig082700031375.47",1
"ko04530","ko04530","Tight junction","3/117","101/4543",0.48547128552197,0.977423510286693,0.97274684277336,"evm.model.tig082700000140.299/evm.model.tig082700000195.110/evm.model.tig082700000071.488",3
"ko05164","ko05164","Influenza A","2/117","63/4543",0.486260409703923,0.977423510286693,0.97274684277336,"evm.model.tig082700000357.48/evm.model.tig082700000427.5",2
"ko05418","ko05418","Fluid shear stress and atherosclerosis","5/117","178/4543",0.48735429754131,0.977423510286693,0.97274684277336,"evm.model.tig082700000167.128/evm.model.tig082700000167.150/evm.model.tig082700000160.67/evm.model.tig082700000106.167/evm.model.tig082700000075.349",5
"ko00650","ko00650","Butanoate metabolism","1/117","26/4543",0.493521435583265,0.977423510286693,0.97274684277336,"evm.model.tig082700000246.27",1
"ko04375","ko04375",NA,"1/117","26/4543",0.493521435583265,0.977423510286693,0.97274684277336,"evm.model.tig082700000195.110",1
"ko04140","ko04140","Autophagy - animal","8/117","297/4543",0.501375022082389,0.977423510286693,0.97274684277336,"evm.model.tig082700000195.110/evm.model.tig082700000167.128/evm.model.tig082700000153.20/evm.model.tig082700000167.150/evm.model.tig082700000160.67/evm.model.tig082700000160.172/evm.model.tig082700000075.349/evm.model.tig082700000106.46",8
"ko00511","ko00511","Other glycan degradation","1/117","27/4543",0.506640318035503,0.977423510286693,0.97274684277336,"evm.model.tig082700000071.537",1
"ko03020","ko03020","RNA polymerase","1/117","27/4543",0.506640318035503,0.977423510286693,0.97274684277336,"evm.model.tig082700000071.80",1
"ko04666","ko04666","Fc gamma R-mediated phagocytosis","2/117","66/4543",0.511069458133609,0.977423510286693,0.97274684277336,"evm.model.tig082700000020.211/evm.model.tig082700000187.100",2
"ko04972","ko04972","Pancreatic secretion","2/117","67/4543",0.519165506307626,0.977423510286693,0.97274684277336,"evm.model.tig082700000067.403/evm.model.tig082700000071.497",2
"ko00630","ko00630","Glyoxylate and dicarboxylate metabolism","1/117","28/4543",0.519422222993396,0.977423510286693,0.97274684277336,"evm.model.tig082700000377.13",1
"ko04320","ko04320","Dorso-ventral axis formation","1/117","28/4543",0.519422222993396,0.977423510286693,0.97274684277336,"evm.model.tig082700002118.82",1
"ko04974","ko04974","Protein digestion and absorption","1/117","29/4543",0.5318757334939,0.977423510286693,0.97274684277336,"evm.model.tig082700000071.497",1
"ko04016","ko04016","MAPK signaling pathway - plant","2/117","70/4543",0.542919421078599,0.977423510286693,0.97274684277336,"evm.model.tig082700000377.13/evm.model.tig082700002117.291",2
"ko04072","ko04072","Phospholipase D signaling pathway","2/117","70/4543",0.542919421078599,0.977423510286693,0.97274684277336,"evm.model.tig082700000020.211/evm.model.tig082700000187.100",2
"ko04136","ko04136","Autophagy - other","2/117","70/4543",0.542919421078599,0.977423510286693,0.97274684277336,"evm.model.tig082700000153.20/evm.model.tig082700000106.46",2
"ko04261","ko04261","Adrenergic signaling in cardiomyocytes","3/117","110/4543",0.543295385171482,0.977423510286693,0.97274684277336,"evm.model.tig082700000174.35/evm.model.tig082700000195.110/evm.model.tig082700000071.497",3
"ko03013","ko03013","Nucleocytoplasmic transport","2/117","71/4543",0.550656835588924,0.977423510286693,0.97274684277336,"evm.model.tig082700000616.9/evm.model.tig082700000127.61",2
"ko05030","ko05030","Cocaine addiction","1/117","32/4543",0.567348509612251,0.977423510286693,0.97274684277336,"evm.model.tig082700000195.110",1
"ko00680","ko00680","Methane metabolism","1/117","33/4543",0.578570018008475,0.977423510286693,0.97274684277336,"evm.model.tig082700000096.129",1
"ko04390","ko04390","Hippo signaling pathway","1/117","33/4543",0.578570018008475,0.977423510286693,0.97274684277336,"evm.model.tig082700000155.34",1
"ko04913","ko04913","Ovarian steroidogenesis","1/117","33/4543",0.578570018008475,0.977423510286693,0.97274684277336,"evm.model.tig082700000195.110",1
"ko03010","ko03010","Ribosome","3/117","116/4543",0.579730588610496,0.977423510286693,0.97274684277336,"evm.model.tig082700000290.11/evm.model.tig082700000444.1/evm.model.tig082700000169.50",3
"ko04113","ko04113","Meiosis - yeast","2/117","75/4543",0.580689442282917,0.977423510286693,0.97274684277336,"evm.model.tig082700000289.14/evm.model.tig082700000195.110",2
"ko05231","ko05231","Choline metabolism in cancer","2/117","75/4543",0.580689442282917,0.977423510286693,0.97274684277336,"evm.model.tig082700000020.211/evm.model.tig082700000187.100",2
"ko04918","ko04918","Thyroid hormone synthesis","2/117","76/4543",0.587966607955386,0.977423510286693,0.97274684277336,"evm.model.tig082700000195.110/evm.model.tig082700000071.497",2
"ko04613","ko04613","Neutrophil extracellular trap formation","2/117","77/4543",0.595150958676976,0.977423510286693,0.97274684277336,"evm.model.tig082700000357.48/evm.model.tig082700000151.129",2
"ko04115","ko04115","p53 signaling pathway","1/117","35/4543",0.600154523541069,0.977423510286693,0.97274684277336,"evm.model.tig082700000427.5",1
"ko04011","ko04011","MAPK signaling pathway - yeast","2/117","79/4543",0.609240936142961,0.977423510286693,0.97274684277336,"evm.model.tig082700000140.299/evm.model.tig082700000377.13",2
"ko04213","ko04213","Longevity regulating pathway - multiple species","2/117","79/4543",0.609240936142961,0.977423510286693,0.97274684277336,"evm.model.tig082700000195.110/evm.model.tig082700000377.13",2
"ko05131","ko05131","Shigellosis","5/117","205/4543",0.61471967903879,0.977423510286693,0.97274684277336,"evm.model.tig082700000254.39/evm.model.tig082700000155.34/evm.model.tig082700000310.5/evm.model.tig082700000427.5/evm.model.tig082700000151.129",5
"ko00730","ko00730","Thiamine metabolism","1/117","37/4543",0.620642496149349,0.977423510286693,0.97274684277336,"evm.model.tig082700000187.131",1
"ko04138","ko04138","Autophagy - yeast","4/117","166/4543",0.625647010063489,0.977423510286693,0.97274684277336,"evm.model.tig082700000195.110/evm.model.tig082700000153.20/evm.model.tig082700000016.654/evm.model.tig082700000106.46",4
"ko05145","ko05145","Toxoplasmosis","2/117","82/4543",0.62967969541214,0.977423510286693,0.97274684277336,"evm.model.tig082700000020.645/evm.model.tig082700000427.5",2
"ko02024","ko02024","Quorum sensing","1/117","38/4543",0.630492657700731,0.977423510286693,0.97274684277336,"evm.model.tig082700000106.20",1
"ko01524","ko01524","Platinum drug resistance","2/117","83/4543",0.636307525816832,0.977423510286693,0.97274684277336,"evm.model.tig082700000106.167/evm.model.tig082700000427.5",2
"ko04139","ko04139","Mitophagy - yeast","2/117","83/4543",0.636307525816832,0.977423510286693,0.97274684277336,"evm.model.tig082700000153.20/evm.model.tig082700000106.46",2
