GO:0004177,Molecular Function,aminopeptidase activity,evm.model.tig082700000016.101
GO:0042626,Molecular Function,ATPase-coupled transmembrane transporter activity,evm.model.tig082700000016.122
GO:0140359,Molecular Function,ABC-type transporter activity,evm.model.tig082700000016.122
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.123
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.123
GO:0008559,Molecular Function,ABC-type xenobiotic transporter activity,evm.model.tig082700000016.123
GO:0015440,Molecular Function,ABC-type peptide transporter activity,evm.model.tig082700000016.123
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.123
GO:0042626,Molecular Function,ATPase-coupled transmembrane transporter activity,evm.model.tig082700000016.123
GO:0140359,Molecular Function,ABC-type transporter activity,evm.model.tig082700000016.123
GO:0003824,Molecular Function,catalytic activity,evm.model.tig082700000016.126
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000016.126
GO:0008773,Molecular Function,[protein-PII] uridylyltransferase activity,evm.model.tig082700000016.127
GO:0004843,Molecular Function,cysteine-type deubiquitinase activity,evm.model.tig082700000016.128
GO:0008233,Molecular Function,peptidase activity,evm.model.tig082700000016.128
GO:0008234,Molecular Function,cysteine-type peptidase activity,evm.model.tig082700000016.128
GO:0008477,Molecular Function,purine nucleosidase activity,evm.model.tig082700000016.128
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.128
GO:0016798,Molecular Function,"hydrolase activity, acting on glycosyl bonds",evm.model.tig082700000016.128
GO:0016799,Molecular Function,"hydrolase activity, hydrolyzing N-glycosyl compounds",evm.model.tig082700000016.128
GO:0045437,Molecular Function,uridine nucleosidase activity,evm.model.tig082700000016.128
GO:0008270,Molecular Function,zinc ion binding,evm.model.tig082700000016.131
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000016.131
GO:0017136,Molecular Function,NAD-dependent histone deacetylase activity,evm.model.tig082700000016.131
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000016.131
GO:0051287,Molecular Function,NAD binding,evm.model.tig082700000016.131
GO:0070403,Molecular Function,NAD+ binding,evm.model.tig082700000016.131
GO:0008270,Molecular Function,zinc ion binding,evm.model.tig082700000016.132
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000016.132
GO:0017136,Molecular Function,NAD-dependent histone deacetylase activity,evm.model.tig082700000016.132
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000016.132
GO:0051287,Molecular Function,NAD binding,evm.model.tig082700000016.132
GO:0070403,Molecular Function,NAD+ binding,evm.model.tig082700000016.132
GO:0004553,Molecular Function,"hydrolase activity, hydrolyzing O-glycosyl compounds",evm.model.tig082700000016.135
GO:0004843,Molecular Function,cysteine-type deubiquitinase activity,evm.model.tig082700000016.136
GO:0008233,Molecular Function,peptidase activity,evm.model.tig082700000016.136
GO:0008234,Molecular Function,cysteine-type peptidase activity,evm.model.tig082700000016.136
GO:0016409,Molecular Function,palmitoyltransferase activity,evm.model.tig082700000016.136
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.136
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000016.136
GO:0003676,Molecular Function,nucleic acid binding,evm.model.tig082700000016.138
GO:0003723,Molecular Function,RNA binding,evm.model.tig082700000016.138
GO:0000155,Molecular Function,phosphorelay sensor kinase activity,evm.model.tig082700000016.140
GO:0004673,Molecular Function,protein histidine kinase activity,evm.model.tig082700000016.140
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000016.140
GO:0016772,Molecular Function,"transferase activity, transferring phosphorus-containing groups",evm.model.tig082700000016.140
GO:0000155,Molecular Function,phosphorelay sensor kinase activity,evm.model.tig082700000016.142
GO:0004673,Molecular Function,protein histidine kinase activity,evm.model.tig082700000016.142
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000016.142
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000016.142
GO:0016772,Molecular Function,"transferase activity, transferring phosphorus-containing groups",evm.model.tig082700000016.142
GO:0004386,Molecular Function,helicase activity,evm.model.tig082700000016.143
GO:0004518,Molecular Function,nuclease activity,evm.model.tig082700000016.143
GO:0004519,Molecular Function,endonuclease activity,evm.model.tig082700000016.143
GO:0000155,Molecular Function,phosphorelay sensor kinase activity,evm.model.tig082700000016.146
GO:0004673,Molecular Function,protein histidine kinase activity,evm.model.tig082700000016.146
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000016.146
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000016.146
GO:0016772,Molecular Function,"transferase activity, transferring phosphorus-containing groups",evm.model.tig082700000016.146
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.148
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000016.148
GO:0004674,Molecular Function,protein serine/threonine kinase activity,evm.model.tig082700000016.148
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.148
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000016.148
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.149
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000016.149
GO:0004674,Molecular Function,protein serine/threonine kinase activity,evm.model.tig082700000016.149
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.149
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000016.149
GO:0003676,Molecular Function,nucleic acid binding,evm.model.tig082700000016.150
GO:0003723,Molecular Function,RNA binding,evm.model.tig082700000016.150
GO:0090729,Molecular Function,toxin activity,evm.model.tig082700000016.150
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.152
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.152
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.152
GO:0042626,Molecular Function,ATPase-coupled transmembrane transporter activity,evm.model.tig082700000016.152
GO:0140359,Molecular Function,ABC-type transporter activity,evm.model.tig082700000016.152
GO:0003677,Molecular Function,DNA binding,evm.model.tig082700000016.153
GO:0000978,Molecular Function,RNA polymerase II cis-regulatory region sequence-specific DNA binding,evm.model.tig082700000016.154
GO:0000981,Molecular Function,"DNA-binding transcription factor activity, RNA polymerase II-specific",evm.model.tig082700000016.154
GO:0003677,Molecular Function,DNA binding,evm.model.tig082700000016.154
GO:0005509,Molecular Function,calcium ion binding,evm.model.tig082700000016.155
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000016.155
GO:0005096,Molecular Function,GTPase activator activity,evm.model.tig082700000016.156
GO:0003824,Molecular Function,catalytic activity,evm.model.tig082700000016.158
GO:0010181,Molecular Function,FMN binding,evm.model.tig082700000016.158
GO:0016491,Molecular Function,oxidoreductase activity,evm.model.tig082700000016.158
GO:0003824,Molecular Function,catalytic activity,evm.model.tig082700000016.16
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000016.162
GO:0003824,Molecular Function,catalytic activity,evm.model.tig082700000016.163
GO:0010181,Molecular Function,FMN binding,evm.model.tig082700000016.163
GO:0016491,Molecular Function,oxidoreductase activity,evm.model.tig082700000016.163
GO:0003824,Molecular Function,catalytic activity,evm.model.tig082700000016.164
GO:0010181,Molecular Function,FMN binding,evm.model.tig082700000016.164
GO:0016491,Molecular Function,oxidoreductase activity,evm.model.tig082700000016.164
GO:0003824,Molecular Function,catalytic activity,evm.model.tig082700000016.165
GO:0010181,Molecular Function,FMN binding,evm.model.tig082700000016.165
GO:0016491,Molecular Function,oxidoreductase activity,evm.model.tig082700000016.165
GO:0003824,Molecular Function,catalytic activity,evm.model.tig082700000016.166
GO:0010181,Molecular Function,FMN binding,evm.model.tig082700000016.166
GO:0016491,Molecular Function,oxidoreductase activity,evm.model.tig082700000016.166
GO:0003824,Molecular Function,catalytic activity,evm.model.tig082700000016.167
GO:0010181,Molecular Function,FMN binding,evm.model.tig082700000016.167
GO:0016491,Molecular Function,oxidoreductase activity,evm.model.tig082700000016.167
GO:0000049,Molecular Function,tRNA binding,evm.model.tig082700000016.17
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000016.17
GO:0031072,Molecular Function,heat shock protein binding,evm.model.tig082700000016.17
GO:0051082,Molecular Function,unfolded protein binding,evm.model.tig082700000016.17
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.171
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000016.171
GO:0004674,Molecular Function,protein serine/threonine kinase activity,evm.model.tig082700000016.171
GO:0005509,Molecular Function,calcium ion binding,evm.model.tig082700000016.171
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.171
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000016.171
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.171
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000016.171
GO:0005509,Molecular Function,calcium ion binding,evm.model.tig082700000016.172
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000016.172
GO:0016829,Molecular Function,lyase activity,evm.model.tig082700000016.173
GO:0003824,Molecular Function,catalytic activity,evm.model.tig082700000016.179
GO:0004339,Molecular Function,"glucan 1,4-alpha-glucosidase activity",evm.model.tig082700000016.179
GO:0004553,Molecular Function,"hydrolase activity, hydrolyzing O-glycosyl compounds",evm.model.tig082700000016.179
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.179
GO:0016798,Molecular Function,"hydrolase activity, acting on glycosyl bonds",evm.model.tig082700000016.179
GO:0030246,Molecular Function,carbohydrate binding,evm.model.tig082700000016.179
GO:0003677,Molecular Function,DNA binding,evm.model.tig082700000016.18
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.18
GO:0031072,Molecular Function,heat shock protein binding,evm.model.tig082700000016.18
GO:0051082,Molecular Function,unfolded protein binding,evm.model.tig082700000016.18
GO:0003824,Molecular Function,catalytic activity,evm.model.tig082700000016.183
GO:0010181,Molecular Function,FMN binding,evm.model.tig082700000016.183
GO:0016491,Molecular Function,oxidoreductase activity,evm.model.tig082700000016.183
GO:0003824,Molecular Function,catalytic activity,evm.model.tig082700000016.185
GO:0010181,Molecular Function,FMN binding,evm.model.tig082700000016.185
GO:0016491,Molecular Function,oxidoreductase activity,evm.model.tig082700000016.185
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.186
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000016.186
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.186
GO:0008017,Molecular Function,microtubule binding,evm.model.tig082700000016.186
GO:0008568,Molecular Function,microtubule-severing ATPase activity,evm.model.tig082700000016.186
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.186
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000016.186
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000016.186
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.189
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000016.189
GO:0004674,Molecular Function,protein serine/threonine kinase activity,evm.model.tig082700000016.189
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.189
GO:0003924,Molecular Function,GTPase activity,evm.model.tig082700000016.19
GO:0005525,Molecular Function,GTP binding,evm.model.tig082700000016.19
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.19
GO:0003824,Molecular Function,catalytic activity,evm.model.tig082700000016.193
GO:0010181,Molecular Function,FMN binding,evm.model.tig082700000016.193
GO:0016491,Molecular Function,oxidoreductase activity,evm.model.tig082700000016.193
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.198
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000016.198
GO:0004674,Molecular Function,protein serine/threonine kinase activity,evm.model.tig082700000016.198
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.198
GO:0008233,Molecular Function,peptidase activity,evm.model.tig082700000016.20
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.200
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000016.200
GO:0004674,Molecular Function,protein serine/threonine kinase activity,evm.model.tig082700000016.200
GO:0005244,Molecular Function,voltage-gated ion channel activity,evm.model.tig082700000016.200
GO:0005245,Molecular Function,voltage-gated calcium channel activity,evm.model.tig082700000016.200
GO:0005262,Molecular Function,calcium channel activity,evm.model.tig082700000016.200
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.200
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000016.200
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000016.200
GO:0086057,Molecular Function,voltage-gated calcium channel activity involved in bundle of His cell action potential,evm.model.tig082700000016.200
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.201
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000016.201
GO:0004674,Molecular Function,protein serine/threonine kinase activity,evm.model.tig082700000016.201
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.201
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000016.201
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000016.201
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.202
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000016.202
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.202
GO:0008017,Molecular Function,microtubule binding,evm.model.tig082700000016.202
GO:0008568,Molecular Function,microtubule-severing ATPase activity,evm.model.tig082700000016.202
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.202
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000016.202
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000016.202
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000016.203
GO:0003824,Molecular Function,catalytic activity,evm.model.tig082700000016.207
GO:0010181,Molecular Function,FMN binding,evm.model.tig082700000016.207
GO:0016491,Molecular Function,oxidoreductase activity,evm.model.tig082700000016.207
GO:0003824,Molecular Function,catalytic activity,evm.model.tig082700000016.208
GO:0010181,Molecular Function,FMN binding,evm.model.tig082700000016.208
GO:0016491,Molecular Function,oxidoreductase activity,evm.model.tig082700000016.208
GO:0003824,Molecular Function,catalytic activity,evm.model.tig082700000016.209
GO:0010181,Molecular Function,FMN binding,evm.model.tig082700000016.209
GO:0016491,Molecular Function,oxidoreductase activity,evm.model.tig082700000016.209
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.21
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000016.21
GO:0004674,Molecular Function,protein serine/threonine kinase activity,evm.model.tig082700000016.21
GO:0004712,Molecular Function,protein serine/threonine/tyrosine kinase activity,evm.model.tig082700000016.21
GO:0005509,Molecular Function,calcium ion binding,evm.model.tig082700000016.21
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.21
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000016.21
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000016.21
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000016.21
GO:0106310,Molecular Function,protein serine kinase activity,evm.model.tig082700000016.21
GO:0003824,Molecular Function,catalytic activity,evm.model.tig082700000016.210
GO:0010181,Molecular Function,FMN binding,evm.model.tig082700000016.210
GO:0016491,Molecular Function,oxidoreductase activity,evm.model.tig082700000016.210
GO:0003824,Molecular Function,catalytic activity,evm.model.tig082700000016.211
GO:0010181,Molecular Function,FMN binding,evm.model.tig082700000016.211
GO:0016491,Molecular Function,oxidoreductase activity,evm.model.tig082700000016.211
GO:0003824,Molecular Function,catalytic activity,evm.model.tig082700000016.212
GO:0010181,Molecular Function,FMN binding,evm.model.tig082700000016.212
GO:0016491,Molecular Function,oxidoreductase activity,evm.model.tig082700000016.212
GO:0003676,Molecular Function,nucleic acid binding,evm.model.tig082700000016.214
GO:0005227,Molecular Function,calcium activated cation channel activity,evm.model.tig082700000016.214
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000016.214
GO:0003690,Molecular Function,double-stranded DNA binding,evm.model.tig082700000016.216
GO:0003690,Molecular Function,double-stranded DNA binding,evm.model.tig082700000016.217
GO:0003690,Molecular Function,double-stranded DNA binding,evm.model.tig082700000016.219
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.220
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000016.220
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000016.220
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.220
GO:0008017,Molecular Function,microtubule binding,evm.model.tig082700000016.220
GO:0008568,Molecular Function,microtubule-severing ATPase activity,evm.model.tig082700000016.220
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000016.220
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.220
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000016.220
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000016.220
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.221
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000016.221
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.221
GO:0008017,Molecular Function,microtubule binding,evm.model.tig082700000016.221
GO:0008568,Molecular Function,microtubule-severing ATPase activity,evm.model.tig082700000016.221
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.221
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000016.221
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000016.221
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000016.227
GO:0003743,Molecular Function,translation initiation factor activity,evm.model.tig082700000016.229
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000016.229
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.229
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000016.229
GO:0016491,Molecular Function,oxidoreductase activity,evm.model.tig082700000016.23
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.230
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000016.230
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.230
GO:0008017,Molecular Function,microtubule binding,evm.model.tig082700000016.230
GO:0008568,Molecular Function,microtubule-severing ATPase activity,evm.model.tig082700000016.230
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.230
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000016.230
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000016.230
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.231
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000016.231
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.231
GO:0008017,Molecular Function,microtubule binding,evm.model.tig082700000016.231
GO:0008568,Molecular Function,microtubule-severing ATPase activity,evm.model.tig082700000016.231
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.231
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000016.231
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000016.231
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.232
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000016.232
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.232
GO:0008017,Molecular Function,microtubule binding,evm.model.tig082700000016.232
GO:0008568,Molecular Function,microtubule-severing ATPase activity,evm.model.tig082700000016.232
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.232
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000016.232
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000016.232
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.233
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000016.233
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.233
GO:0008017,Molecular Function,microtubule binding,evm.model.tig082700000016.233
GO:0008568,Molecular Function,microtubule-severing ATPase activity,evm.model.tig082700000016.233
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.233
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000016.233
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000016.233
GO:0004222,Molecular Function,metalloendopeptidase activity,evm.model.tig082700000016.234
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000016.234
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000016.234
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.234
GO:0008233,Molecular Function,peptidase activity,evm.model.tig082700000016.234
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000016.234
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.234
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000016.234
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000016.235
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.235
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000016.235
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000016.237
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000016.239
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.239
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000016.239
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000016.241
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.242
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000016.242
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.242
GO:0008017,Molecular Function,microtubule binding,evm.model.tig082700000016.242
GO:0008568,Molecular Function,microtubule-severing ATPase activity,evm.model.tig082700000016.242
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.242
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000016.242
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000016.242
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.243
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000016.243
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.243
GO:0008017,Molecular Function,microtubule binding,evm.model.tig082700000016.243
GO:0008568,Molecular Function,microtubule-severing ATPase activity,evm.model.tig082700000016.243
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.243
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000016.243
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000016.243
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.244
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000016.244
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000016.244
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.244
GO:0008017,Molecular Function,microtubule binding,evm.model.tig082700000016.244
GO:0008568,Molecular Function,microtubule-severing ATPase activity,evm.model.tig082700000016.244
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000016.244
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.244
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000016.244
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000016.244
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.245
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000016.245
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.245
GO:0008017,Molecular Function,microtubule binding,evm.model.tig082700000016.245
GO:0008568,Molecular Function,microtubule-severing ATPase activity,evm.model.tig082700000016.245
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.245
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000016.245
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000016.245
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.246
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000016.246
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.246
GO:0008017,Molecular Function,microtubule binding,evm.model.tig082700000016.246
GO:0008568,Molecular Function,microtubule-severing ATPase activity,evm.model.tig082700000016.246
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.246
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000016.246
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000016.246
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.247
